categories,diseases,Symptoms,Related Diseases
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","malabsorption

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","short stature

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","dry skin

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","alopecia

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","cerebral cortical atrophy

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","erythema

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","chronic diarrhea

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","abnormal eyebrow morphology

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","abnormal blistering of the skin

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","pustule

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","failure to thrive

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","emotional lability

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","photophobia

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","skin ulcer

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","cheilitis

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","conjunctivitis

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","blepharitis

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","furrowed tongue

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","ridged fingernail

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","glossitis

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","paronychia

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","ridged nail

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","visual impairment

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","anorexia

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","weight loss

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","corneal erosion

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","poor appetite

",
Gastrointestinal diseases,"Acrodermatitis Enteropathica, Zinc-Deficiency Type","diarrhea
",
