categories,diseases,Symptoms,Related Diseases
Blood diseases,Cherubism,"full cheeks
58
30",
Blood diseases,Cherubism,"bone cyst
58
30",
Blood diseases,Cherubism,"broad jaw
58
30",
Blood diseases,Cherubism,"abnormality of dental morphology
58
30",
Blood diseases,Cherubism,"oligodontia
58
30",
Blood diseases,Cherubism,"optic atrophy
58
30",
Blood diseases,Cherubism,"feeding difficulties in infancy
58
30",
Blood diseases,Cherubism,"progressive visual loss
58
30",
Blood diseases,Cherubism,"abnormality of the voice
58
30",
Blood diseases,Cherubism,"proptosis
58
30",
Blood diseases,Cherubism,"upper airway obstruction
58
30",
Blood diseases,Cherubism,"obstructive sleep apnea
58
30",
Blood diseases,Cherubism,"round face
30",
Blood diseases,Cherubism,"jaw swelling
30",
Blood diseases,Cherubism,"lower eyelid retraction
30",
Blood diseases,Cherubism,"submandibular lymph node enlargement
30",
Blood diseases,Cherubism,"narrow palate
30",
Blood diseases,Cherubism,"dental malocclusion
30",
Blood diseases,Cherubism,"abnormality of the dentition
58",
Blood diseases,Cherubism,"visual impairment
58",
Blood diseases,Cherubism,"reduced visual acuity
30",
Blood diseases,Cherubism,"optic neuropathy
30",
Blood diseases,Cherubism,"constriction of peripheral visual field
30",
Blood diseases,Cherubism,"abnormality of the mandible
58",
Blood diseases,Cherubism,"alveolar ridge overgrowth
30",
Blood diseases,Cherubism,"macular scar
30",
Blood diseases,Cherubism,"marcus gunn pupil
30",
Blood diseases,Cherubism,"multiple impacted teeth
30",
Blood diseases,Immunodeficiency ,"respiratory failure
30",
Blood diseases,Immunodeficiency ,"failure to thrive
30",
Blood diseases,Immunodeficiency ,"recurrent respiratory infections
30",
Blood diseases,Immunodeficiency ,"microcephaly
30",
Blood diseases,Immunodeficiency ,"short stature
30",
Blood diseases,Immunodeficiency ,"intrauterine growth retardation
30",
Blood diseases,Immunodeficiency ,"mild global developmental delay
30",
Blood diseases,Immunodeficiency ,"adrenal insufficiency
30",
Blood diseases,Immunodeficiency ,"hyperpigmentation of the skin
30",
Blood diseases,Immunodeficiency ,"recurrent viral infections
30",
Blood diseases,Immunodeficiency ,"caesarian section
30",
Blood diseases,Immunodeficiency ,"reduced natural killer cell count
30",
Blood diseases,Immunodeficiency ,"splenomegaly
30",
Blood diseases,Immunodeficiency ,"hepatomegaly
30",
Blood diseases,Immunodeficiency ,"postnatal growth retardation
30",
Blood diseases,Immunodeficiency ,"lymphadenopathy
30",
Blood diseases,Immunodeficiency ,"lymphoproliferative disorder
30",
Blood diseases,Immunodeficiency ,"adrenocorticotropic hormone excess
30",
Blood diseases,Immunodeficiency ,"chromosome breakage
30",
Blood diseases,Immunodeficiency c,"delayed skeletal maturation
58
30",
Blood diseases,Immunodeficiency c,"short stature
58
30",
Blood diseases,Immunodeficiency c,"recurrent upper respiratory tract infections
58
30",
Blood diseases,Immunodeficiency c,"chronic mucocutaneous candidiasis
58
30",
Blood diseases,Immunodeficiency c,"functional abnormality of the bladder
58
30",
Blood diseases,Immunodeficiency c,"osteopenia
58
30",
Blood diseases,Immunodeficiency c,"delayed puberty
58
30",
Blood diseases,Immunodeficiency c,"type i diabetes mellitus
58
30",
Blood diseases,Immunodeficiency c,"immunodeficiency
58
30",
Blood diseases,Immunodeficiency c,"thyroiditis
58
30",
Blood diseases,Immunodeficiency c,"bronchiectasis
58
30",
Blood diseases,Immunodeficiency c,"renovascular hypertension
58
30",
Blood diseases,Immunodeficiency c,"eczema
58
30",
Blood diseases,Immunodeficiency c,"diarrhea
58
30",
Blood diseases,Immunodeficiency c,"hepatosplenomegaly
58
30",
Blood diseases,Immunodeficiency c,"renal artery stenosis
58
30",
Blood diseases,Immunodeficiency c,"autoimmune hemolytic anemia
58
30",
Blood diseases,Immunodeficiency c,"dilatation of the cerebral artery
58
30",
Blood diseases,Immunodeficiency c,"carotid artery dilatation
58
30",
Blood diseases,Immunodeficiency c,"primary hypothyroidism
58
30",
Blood diseases,Immunodeficiency c,"immune dysregulation
58
30",
Blood diseases,Immunodeficiency c,"enterocolitis
58
30",
Blood diseases,Immunodeficiency c,"recurrent herpes
58
30",
Blood diseases,Immunodeficiency c,"b lymphocytopenia
58
30",
Blood diseases,Immunodeficiency c,"villous atrophy
58
30",
Blood diseases,Immunodeficiency c,"generalized osteoporosis
58
30",
Blood diseases,Immunodeficiency c,"congestive heart failure
58
30",
Blood diseases,Immunodeficiency c,"hepatitis
58
30",
Blood diseases,Immunodeficiency c,"recurrent aspergillus infections
58
30",
Blood diseases,Immunodeficiency c,"pulmonary arterial hypertension
58
30",
Blood diseases,Immunodeficiency c,"antiphospholipid antibody positivity
58
30",
Blood diseases,Immunodeficiency c,"autoimmune thrombocytopenia
58
30",
Blood diseases,Immunodeficiency c,"esophageal carcinoma
58
30",
Blood diseases,Immunodeficiency c,"patent foramen ovale
58
30",
Blood diseases,Immunodeficiency c,"neutropenia in presence of anti-neutropil antibodies
58
30",
Blood diseases,Immunodeficiency c,"medial calcification of large arteries
58
30",
Blood diseases,Immunodeficiency c,"oropharyngeal squamous cell carcinoma
58
30",
Blood diseases,Immunodeficiency c,"diabetes mellitus
30",
Blood diseases,Immunodeficiency c,"hypothyroidism
30",
Blood diseases,Immunodeficiency c,"infectious encephalitis
30",
Blood diseases,Immunodeficiency c,"abnormal circulating interferon-gamma concentration
30",
Blood diseases,Immunodeficiency c,"muscle weakness
30",
Blood diseases,Immunodeficiency c,"splenomegaly
30",
Blood diseases,Immunodeficiency c,"hepatomegaly
30",
Blood diseases,Immunodeficiency c,"fatigue
30",
Blood diseases,Immunodeficiency c,"fever
30",
Blood diseases,Immunodeficiency c,"skeletal muscle atrophy
30",
Blood diseases,Immunodeficiency c,"cough
30",
Blood diseases,Immunodeficiency c,"weight loss
30",
Blood diseases,Immunodeficiency c,"osteomyelitis
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","autoimmunity
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","papule
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","abnormal blistering of the skin
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","impaired neutrophil chemotaxis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","gingivitis
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","otitis media
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","recurrent urinary tract infections
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","bone marrow hypocellularity
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","pneumonia
58
30",
Blood diseases,"Leukocyte Adhesion Deficiency, Type I","peritonitis
58
30",
